식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g)
돌돔 (100g당),0,0,20,0
돌돔-양식산 (100g당),0,0,0,0
돌돔-자연산 (100g당),0,0,0,0
돔발상어 (100g당),85,0,17,1
돔발상어-알 (100g당),329,0,25,23
동갈돗돔 (100g당),0,0,0,0
동갈치 (100g당),97,0,19,1
동갈치 (100g당),0,0,0,0
동남참게 (100g당),125,9,13,3
동동갈치 (100g당),121,0,20,3
동사리 (100g당),81,0,16,1
동자개 (100g당),0,0,17,0
동자개 (100g당),0,0,0,0
동자개 (100g당),81,0,15,1
동자개-알 (100g당),0,0,25,0
동자개-양식산 (100g당),0,0,0,0
동자개-자연산 (100g당),0,0,0,0
동죽 (100g당),0,0,0,0
동죽 (100g당),0,0,11,0
동죽 (100g당),69,0,11,1
동죽 (100g당),0,0,0,0
돛양태 (100g당),81,0,18,0
두드럭고둥 (100g당),89,5,14,0
두툽상어 (100g당),0,0,0,0
두툽상어 (100g당),94,0,21,0
두툽상어 (100g당),0,0,23,0
두툽상어-간 (100g당),0,0,0,0
둑중개 (100g당),104,0,15,4
둥근돌김-소건품 (100g당),168,43,35,1
둥근전복 (100g당),85,4,14,0
드렁허리 (100g당),92,0,17,1
등가시치 (100g당),0,0,0,0
등가시치 (100g당),79,0,18,0
등가시치 (100g당),0,0,19,0
떡붕어 (100g당),0,0,0,0
떡붕어 (100g당),0,0,17,0
떡붕어 (100g당),96,0,18,2
떡붕어-알 (100g당),0,0,0,0
떡붕어-알 (100g당),0,0,25,0
떡조개 (100g당),87,7,11,1
떡조개 (100g당),0,0,0,0
또아리물레고둥 (100g당),0,0,0,0
뜸부기-소건품 (100g당),128,46,6,2
띠구슬다슬기 (100g당),117,9,16,0
띠구슬다슬기 (100g당),0,0,0,0
마디잘록이 (100g당),0,0,6,0
만새기 (100g당),0,0,21,0
만새기 (100g당),66,0,13,1
말똥성게 (100g당),0,0,0,0
말미잘 (100g당),0,0,0,0
말미잘 (100g당),0,0,12,0
말백합 (100g당),58,2,10,0
말전복 (100g당),0,0,13,0
말전복 (100g당),77,3,12,0
말쥐치 (100g당),0,0,18,0
말쥐치 (100g당),0,0,0,0
말쥐치 (100g당),80,0,17,0
말쥐치 (100g당),0,0,17,0
말쥐치-조미건품 (100g당),325,34,38,2
맛조개 (100g당),0,0,0,0
맛조개 (100g당),0,0,12,0
망상어 (100g당),0,0,18,0
망상어 (100g당),89,0,18,0
매끈이고둥 (100g당),108,2,22,0
매끈이고둥 (100g당),0,0,19,0
매리복 (100g당),0,0,19,0
매리복 (100g당),88,0,19,0
매생이 (100g당),0,0,0,0
매생이 (100g당),0,0,4,0
매생이-소건품 (100g당),125,35,20,0
매오징어 (100g당),80,1,14,1
매퉁이 (100g당),0,0,19,0
매퉁이 (100g당),0,0,0,0
매퉁이 (100g당),93,0,20,0
맵사리 (100g당),0,0,19,0
먹장어 (100g당),0,0,0,0
먹장어 (100g당),0,0,13,0
먹장어 (100g당),129,0,16,6
먹장어-껍질 (100g당),0,0,0,0
먹장어-전어체 (100g당),0,0,0,0
멍게 (100g당),0,0,0,0
멍게 (100g당),0,0,0,0
멍게 (100g당),0,0,0,0
멍게 (100g당),0,0,7,0
메기 (100g당),114,0,15,5
메기-자연산 (100g당),0,0,0,0
메기-자연산 (100g당),0,0,17,0
메기-자연산 (100g당),0,0,0,0
멸치 (100g당),127,0,17,5
멸치 (100g당),0,0,17,0
멸치 (100g당),0,0,0,0
멸치-근육 (100g당),0,0,0,0
멸치-소건품-대멸 (100g당),333,0,50,12
멸치-소건품-소멸 (100g당),334,0,54,10
멸치-소건품-자멸 (100g당),285,0,46,9
멸치-소건품-중멸 (100g당),341,0,54,11
멸치-알 (100g당),0,0,24,0
멸치-액젓 (100g당),0,0,8,0
멸치-액젓 (100g당),39,0,8,0
멸치-자건품-대멸 (100g당),0,0,51,0
멸치-자건품-대멸 (100g당),0,0,0,0
멸치-자건품-대멸 (100g당),303,2,47,9
멸치-자건품-대멸 (100g당),0,0,0,0
멸치-자건품-세멸 (100g당),239,0,42,6
멸치-자건품-소멸 (100g당),0,0,54,0
멸치-자건품-중멸 (100g당),232,4,38,5
멸치-자건품-중멸 (100g당),0,0,54,0
멸치-자건품-혼합 (100g당),0,0,0,0
멸치-전어체 (100g당),0,0,0,0
멸치-젓갈 (100g당),118,0,14,6
멸치-젓갈 (100g당),0,0,0,0
명태 (100g당),0,0,0,0
명태 (100g당),80,0,17,0
명태 (100g당),0,0,0,0
명태 (100g당),0,0,0,0
명태 (100g당),0,0,17,0
명태-간 (100g당),0,0,0,0
명태-간 (100g당),0,0,0,0
명태-동건품(포) (100g당),350,0,74,3
명태-명란젓 (100g당),126,2,20,3
명태-명란젓 (100g당),0,0,20,0
명태-소건품 (100g당),0,0,70,0
명태-소건품(노가리) (100g당),351,0,74,3
명태-소건품(코다리) (100g당),290,0,61,3
명태-알 (100g당),0,0,0,0
명태-알 (100g당),0,0,0,0
명태-조미건품(포) (100g당),0,0,37,0
명태-조미건품(포) (100g당),319,29,43,1
명태-창란젓 (100g당),0,0,9,0
명태-창란젓 (100g당),116,8,12,3
명태-포(먹태) (100g당),372,0,82,2
명태-포(북어) (100g당),358,0,70,6
모래무지 (100g당),77,0,15,1
모무늬돌김-소건품 (100g당),0,0,0,0
모자반 (100g당),0,0,5,0
모자반 (100g당),18,5,1,0
모자반 (100g당),0,0,0,0
모자반-염장품 (100g당),18,5,3,0
모조리상어 (100g당),108,0,21,1
목탁가오리 (100g당),98,0,22,0
몽치다래 (100g당),159,0,24,5
무늬홍어 (100g당),0,0,0,0
무지개송어 (100g당),0,0,0,0
무지개송어 (100g당),126,0,21,3
무지개송어 (100g당),0,0,0,0
무지개송어 (100g당),0,0,19,0
무지개송어 (100g당),0,0,0,0
문절망둑 (100g당),0,0,0,0
문절망둑 (100g당),90,0,18,1
문절망둑 (100g당),0,0,0,0
문치가자미 (100g당),93,0,19,0
문치가자미 (100g당),0,0,0,0
물가자미 (100g당),0,0,0,0
물렁가시붉은새우 (100g당),83,0,18,0
물렁가시붉은새우 (100g당),0,0,0,0
물레고둥 (100g당),88,3,17,0
물메기 (100g당),0,0,0,0
물메기 (100g당),78,0,16,0
물메기-근육 (100g당),0,0,0,0
물메기-내장 (100g당),0,0,0,0
물메기-내장 (100g당),0,0,0,0
물치다래 (100g당),168,0,23,7
미꾸라지 (100g당),0,0,0,0
미꾸라지 (100g당),0,0,0,0
미꾸리 (100g당),96,0,16,2
미꾸리 (100g당),0,0,0,0
미꾸리 (100g당),0,0,0,0
미꾸리 (100g당),0,0,0,0
미꾸리 (100g당),0,0,17,0
미더덕 (100g당),0,0,0,0
미더덕 (100g당),0,0,0,0
미더덕 (100g당),46,4,4,1
미더덕-껍질 (100g당),0,0,0,0
미역 (100g당),0,0,1,0
미역 (100g당),0,0,0,0
미역 (100g당),0,0,0,0
미역-소건품 (100g당),126,33,20,2
미역-소건품 (100g당),0,0,15,0
미역-양식산 (100g당),18,4,3,0
미역-염장품(데침) (100g당),35,8,6,0
미역-자연산 (100g당),15,4,2,0
미역-줄기 (100g당),14,4,1,0
민꽃게 (100g당),86,2,14,1
민달고기 (100g당),95,0,20,1
민들조개 (100g당),0,0,0,0
민어 (100g당),0,0,0,0
민어 (100g당),86,0,18,0
민어-양식산 (100g당),0,0,19,0
민어-자연산 (100g당),0,0,18,0
민어-조미건품 (100g당),327,35,39,1
민태 (100g당),88,0,15,2
민허리돼지고둥 (100g당),105,3,16,2
밀복 (100g당),80,0,17,0
밀복 (100g당),0,0,0,0
밀복 (100g당),0,0,18,0
밀복-조미건품(포) (100g당),0,0,50,0
밍크고래-꼬리 (100g당),0,0,15,0
밍크고래-뱃살 (100g당),0,0,2,0
밍크고래-보통육 (100g당),0,0,25,0
밍크고래-콩팥 (100g당),0,0,19,0
밍크고래-혀 (100g당),0,0,18,0
바다빙어 (100g당),92,0,17,1
바닷가재 (100g당),0,0,0,0
바위굴-자연산 (100g당),0,0,0,0
바위두둑 (100g당),0,0,0,0
바지락 (100g당),0,0,0,0
바지락 (100g당),73,2,12,1
바지락 (100g당),0,0,0,0
바지락 (100g당),0,0,0,0
바지락 (100g당),0,0,0,0
바지락 (100g당),0,0,12,0
바지락 (100g당),0,0,0,0
바지락 (100g당),0,0,0,0
바지락-소건품 (100g당),347,0,74,3
바지락-자숙품 (100g당),0,0,19,0
바지락-젓갈 (100g당),51,1,8,1
박대 (100g당),90,0,19,0
반딧불게르치 (100g당),0,0,0,0
반지 (100g당),0,0,0,0
반지 (100g당),0,0,16,0
반지 (100g당),128,0,20,4
밤송이게 (100g당),0,0,15,0
방사무늬김-소건품 (100g당),0,0,0,0
방어 (100g당),0,0,0,0
방어 (100g당),0,0,19,0
방어 (100g당),0,0,0,0
방어 (100g당),0,0,0,0
방어 (100g당),101,0,21,0
방어-혈합육 (100g당),0,0,0,0
배스 (100g당),0,0,0,0
배스 (100g당),0,0,0,0
백미돔 (100g당),102,0,21,1
백연 (100g당),89,0,19,0
백합 (100g당),0,0,0,0
백합 (100g당),74,3,11,1
백합 (100g당),0,0,0,0
밴댕이 (100g당),225,0,16,16
밴댕이-자건품 (100g당),333,0,56,9
밴댕이-자건품 (100g당),0,0,48,0
밴댕이-젓갈 (100g당),117,0,16,4
뱀장어 (100g당),0,0,0,0
뱀장어 (100g당),223,0,14,17
뱀장어 (100g당),0,0,14,0
뱀장어-간 (100g당),202,22,12,6
뱀장어-양식산 (100g당),0,0,0,0
뱀장어-자연산 (100g당),0,0,0,0
뱀장어-조미-구운치 (100g당),262,0,30,14
뱅어 (100g당),68,0,13,1
뱅어-소건품 (100g당),311,0,56,7
뱅어-조미건품(포) (100g당),382,1,64,11
벌레문치 (100g당),88,0,15,2
범가자미 (100g당),82,0,18,0
범돔 (100g당),0,0,0,0
범돔 (100g당),94,0,19,1
베도라치 (100g당),0,0,0,0
베도라치 (100g당),105,0,20,1
베로치 (100g당),86,0,19,0
벤자리 (100g당),0,0,0,0
벤자리 (100g당),123,0,17,5
벵에돔 (100g당),0,0,0,0
벵에돔 (100g당),0,0,0,0
벵에돔 (100g당),98,0,20,1
벵에돔 (100g당),0,0,20,0
별상어 (100g당),0,0,0,0
별상어 (100g당),0,0,0,0
별상어 (100g당),0,0,0,0
별상어 (100g당),103,0,23,0
별상어 (100g당),0,0,17,0
별상어-간 (100g당),0,0,0,0
별상어-간 (100g당),0,0,0,57
별성대 (100g당),91,0,19,1
별쭉지성대 (100g당),0,0,0,0
별쭉지성대 (100g당),129,0,19,5
병어 (100g당),0,0,16,0
병어 (100g당),0,0,0,0
병어 (100g당),0,0,0,0
병어 (100g당),130,0,16,6
병어-알 (100g당),0,0,18,0
보구치 (100g당),119,0,19,3
보구치 (100g당),0,0,0,0
보구치 (100g당),0,0,19,0
보라성게 (100g당),0,0,14,0
보라성게 (100g당),0,0,0,0
보라성게-알 (100g당),181,7,16,8
보라성게-알 (100g당),0,0,0,0
보리새우 (100g당),0,0,0,0
보리새우 (100g당),0,0,0,0
보리새우 (100g당),0,0,14,0
보리새우 (100g당),71,0,15,0
보말고둥 (100g당),93,2,14,2
보말고둥 (100g당),0,0,17,0
보말고둥 (100g당),0,0,0,0
복섬 (100g당),0,0,0,0
볼기우럭 (100g당),129,0,18,5
볼락 (100g당),0,0,0,0
볼락 (100g당),93,0,19,1
볼락-양식산 (100g당),0,0,19,0
볼락-자연산 (100g당),0,0,20,0
부세 (100g당),0,0,0,0
부세 (100g당),105,0,17,3
부세 (100g당),0,0,21,0
부시리 (100g당),109,0,22,1
부시리 (100g당),0,0,0,0
부채새우 (100g당),0,0,0,0
부채새우 (100g당),0,0,0,0
부채새우 (100g당),65,0,13,0
부채새우 (100g당),0,0,15,0
북방대합 (100g당),62,1,12,0
북방대합 (100g당),0,0,14,0
북방대합 (100g당),0,0,0,0
북방전복-근육 (100g당),0,0,0,0
북방전복-내장 (100g당),0,0,0,0
북방전복-자숙품 (100g당),0,0,0,0
북쪽분홍새우 (100g당),0,0,0,0
분홍꼼치 (100g당),74,1,15,0
불등풀가사리-소건품 (100g당),152,55,16,0
불볼락 (100g당),0,0,0,0
불볼락 (100g당),0,0,0,0
불볼락 (100g당),125,0,18,4
불볼락 (100g당),0,0,17,0
붉바리 (100g당),0,0,0,0
붉바리 (100g당),0,0,22,0
붉바리 (100g당),99,0,21,1
붉은대게 (100g당),48,0,10,0
붉은대게 (100g당),0,0,13,0
붉은대게-수컷-다리 (100g당),0,0,12,0
붉은대게-수컷-몸통 (100g당),0,0,8,0
붉은대게-알 (100g당),0,0,13,0
붉은대게-암컷-다리 (100g당),0,0,14,0
붉은대게-암컷-몸통 (100g당),0,0,8,0
붉은맛 (100g당),0,0,16,0
붉은맛 (100g당),95,2,16,1
붉은맛 (100g당),0,0,0,0
붉은멍게 (100g당),0,0,0,0
붉은멍게 (100g당),78,3,9,2
붉은메기 (100g당),0,0,0,0
붉은메기 (100g당),0,0,18,0
붉은메기 (100g당),83,0,18,0
